INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
199	Thäo Li®u Trß¶ng	256	256	caoliao.scene	caoliao.path	caoliao.wCollision	qiongzhou.jpg	117	36000	caoliao	654	252	669	235	Sign19	MiniMap_Icon3	CaoLiaoChang_Normal	MiniMap_Icon3	CaoLiaoChang_Normal	T× NhÕn B¡c tiªn vào #r Quái v§t có ðÆng c¤p 45 - 50 #r LoÕi quái v§t g°m: #r H°ng Phong Tri Thù, T¥n Gia TrÕi Kiªp Phï #r H°ng Phong Hùng, T¥n Gia TrÕi #r Hµ V®, T¥n Gia TrÕi Giáo Ð¥u, #r Ðä Thäo C¯c Liêu Binh.	0.2;0.2
200	Miêu Nhân Ðµng	256	256	miaoren.scene	miaoren.path	miaoren.wCollision	qiongzhou.jpg	145	60000	miaoren	745	682	747	669	Sign19	MiniMap_Icon3	MiaoRenDong_Normal	MiniMap_Icon3	MiaoRenDong_Normal	Tiªn vào t× Mai Lînh #rQuái v§t ðÆng c¤p 65 ~ 70 #rChüng loÕi quái v§t: #rH°ng Bào Tri Thù, Tùng Lâm Dã Nhân, #rS½n Vi®t Tª Tß, S½n Vi®t Hµ Pháp, #rB¢ng Dân, Th± Phï.	0.2;0.2
201	Thánh Thú S½n	256	256	petisland_1.scene	petisland_1.path	petisland_1.wCollision	qiongzhou.jpg	144	60000	petisland_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
202	Yªn Vß½ng C± Mµ T¥ng 1	128	128	bashu_1.scene	bashu_1.path	bashu_1.wCollision	qiongzhou.jpg	417	60000	bashu_1	610	244	577	229	Sign16	MiniMap_Icon3	YanWangGuMu_Normal	MiniMap_Icon3	YanWangGuMu_Normal	Yªn Vß½ng C± Mµ #rtoàn cänh s½n ðµng #rQuái v§t ðÆng c¤p: 50 - 75 #rChüng loÕi quái v§t: #rThâu Li®p Giä, QuÖ Kiªm, ThÕch Nhân, Thø Nhân, Nham Ma, Mµ Huy®t Ðµc Thù, Mµ Huy®t Ðµc Phong, Ðµc Ty Tri Thù Vß½ng, Hôi Ban Ðµc Thù, H¤p Huyªt Biên Phúc, Xuân Th§p Tam Nß½ng, TuÖ Ðµc Thù, Khô Lâu Binh, Phøc Ð¸a Ma, QuÖ H°n, U Linh, BÕch Ðª Âm Änh, Vong Linh Khäi Giáp Võ Sî, TØ Vong T¥n Phi, Minh Tß¾ng, Hoä Toan Nghê, Nê Tß½ng Võ Sî, Huyªt †m Cu°ng Ðao, Bác Mã, Dung Nham ThÕch Nhân, Xích Tiêu. #rTrân thú có th¬ b¡t ðßþc: #rHoä Tông ThØ, Huy«n Dñc Thú, Viêm Hoä Tông ThØ, Xi Huy«n Dñc Thú. 	0.2;0.2
203	Yªn Vß½ng C± Mµ T¥ng 2	128	128	bashu_2.scene	bashu_2.path	bashu_2.wCollision	qiongzhou.jpg	119	60000	bashu_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
204	Yªn Vß½ng C± Mµ T¥ng 3	128	128	bashu_3.scene	bashu_3.path	bashu_3.wCollision	qiongzhou.jpg	146	60000	bashu_3	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
205	Yªn Vß½ng C± Mµ T¥ng 4	128	128	bashu_4.scene	bashu_4.path	bashu_4.wCollision	qiongzhou.jpg	147	60000	bashu_4	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
206	Yªn Vß½ng C± Mµ T¥ng 5	128	128	bashu_5.scene	bashu_5.path	bashu_5.wCollision	qiongzhou.jpg	148	60000	bashu_5	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
207	Yªn Vß½ng C± Mµ T¥ng 6	128	128	bashu_6.scene	bashu_6.path	bashu_6.wCollision	qiongzhou.jpg	417	60000	bashu_6	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
208	Yªn Vß½ng C± Mµ T¥ng 7	128	128	bashu_7.scene	bashu_7.path	bashu_7.wCollision	qiongzhou.jpg	119	60000	bashu_7	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
209	Yªn Vß½ng C± Mµ T¥ng 8	128	128	bashu_8.scene	bashu_8.path	bashu_8.wCollision	qiongzhou.jpg	146	60000	bashu_8	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
210	Yªn Vß½ng C± Mµ T¥ng 9	128	128	bashu_9.scene	bashu_9.path	bashu_9.wCollision	qiongzhou.jpg	147	60000	bashu_9	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
211	S½n Ðµng Tuy«n Ô	256	256	chuanwu.scene	chuanwu.path	chuanwu.wCollision	qiongzhou.jpg	147	60000	chuanwu	812	554	775	549	Sign19	MiniMap_Icon3	ShanDongChuanWu_Normal	MiniMap_Icon3	ShanDongChuanWu_Normal	Tiªn vào t× Tây H° #rQuái v§t ðÆng c¤p 20 ~ 25 #rChüng loÕi quái v§t: #rHoa Cäng Ðµc Phong, Thüy QuÖ Thám TØ, #rÐoÕn Ki«u Yêu Hoa, Long Tïnh Thüy T£c, #rTh± Phï, M§t Thám.	0.2;0.2
212	Kiªm Gia	256	256	jianzhong.scene	jianzhong.path	jianzhong.wCollision	qiongzhou.jpg	144	60000	jianzhong	870	565	871	552	Sign19	MiniMap_Icon3	JianZhong_Normal	MiniMap_Icon3	JianZhong_Normal	Tiªn vào t× Long Tuy«n #rQuái v§t ðÆng c¤p 35 ~ 40 #rChüng loÕi quái v§t: #rKiªm Xï Báo, Kiªm Trûng Thích Khách , #rHoang Dã Kiªm Khách, Ám Sát Giä, #rÐÕi Kiªm Sß, Kiªm Linh.	0.2;0.2
213	Ma Nhai Ðµng	256	256	moyadong.scene	moyadong.path	moyadong.wCollision	qiongzhou.jpg	417	120000	moyadong	680	295	701	283	Sign19	MiniMap_Icon3	MoYaDong_Normal	MiniMap_Icon3	MoYaDong_Normal	T× NhÕn Nam vào#rQuái v§t ðÆng c¤p 30-35#rLoÕi quái v§t: #rT¥n Gia TrÕi Ác Bá, T¥n Gia TrÕi Hµ V® SÑ, T¥n Gia TrÕi Ð¥u Lînh, T¥n Gia TrÕi Th± Phï, T¥n Gia TrÕi V® Binh.	0.2;0.2
214	Dã Nhân C¯c	256	256	yerengou.scene	yerengou.path	yerengou.wCollision	qiongzhou.jpg	144	60000	yerengou	274	625	255	611	Sign19	MiniMap_Icon3	YeRenGou_Normal	MiniMap_Icon3	YeRenGou_Normal	Tiªn vào t× Thß½ng S½n #rQuái v§t ðÆng c¤p 40 ~ 45 #rChüng loÕi quái v§t: #rSoa Y Dã Nhân, Lang Tµc Ð¥u Nhân, #rLang Tµc Dûng Sî, Lang Tµc Th¥n Hán, #rLang Tµc Th± Ty, Tuyªt Lang.	0.2;0.2
215	Ôn Tuy«n Ðµng	256	256	wenquandong.scene	wenquandong.path	wenquandong.wCollision	qiongzhou.jpg	147	60000	wenquandong	361	656	372	644	Sign19	MiniMap_Icon3	WenQuanDong_Normal	MiniMap_Icon3	WenQuanDong_Normal	Tiªn vào t× Nhî Häi #rQuái v§t ðÆng c¤p 25 ~ 30 #rChüng loÕi quái v§t: #rLang Tµc Kinh SÑ, Xích Cß¾c Dã Nhân, #rLang Tµc Thám TØ, Lang Tµc Chiªn Sî, #rHoa Ban Báo, Phong Lang .	0.2;0.2
216	Hoàng Long Ðµng	256	256	huanglongdong.scene	huanglongdong.path	huanglongdong.wCollision	qiongzhou.jpg	147	60000	huanglongdong	786	622	783	609	Sign19	MiniMap_Icon3	HuangLongDong_Normal	MiniMap_Icon3	HuangLongDong_Normal	Tiªn vào t× Võ Di #rQuái v§t ðÆng c¤p 50 ~ 55 #rChüng loÕi quái v§t: #rThâm C¯c BÕch Viên, BÕch Hoa Tri Thù, #rS½n Vi®t Chiªn Sî, S½n Vi®t Hµ Pháp, #rThø Giáp Tiêu Binh, S½n Vi®t Tß Tª.	0.2;0.2
217	ThuÖ Kính H°	256	256	shuijinghu.scene	shuijinghu.path	shuijinghu.wCollision	qiongzhou.jpg	147	60000	shuijinghu	660	156	653	144	Sign19	MiniMap_Icon3	ShuiJingHu_Normal	MiniMap_Icon3	ShuiJingHu_Normal	Tiªn vào t× thäo nguyên #rQuái v§t ðÆng c¤p 60 ~ 65 #rChüng loÕi quái v§t: #rÐä Thäo C¯c T¯ng Binh, Mông C± H¡c Phong, #rThi¬m Ði®n Mã Phï, Truy Phong Mã Phï#rLoan Ðao Mã Phï, Thäo Nguyên Lang.	0.2;0.2
218	Tiên Vß½ng Ph¥n	256	256	xianwangfen.scene	xianwangfen.path	xianwangfen.wCollision	qiongzhou.jpg	147	60000	xianwangfen	691	109	691	96	Sign19	MiniMap_Icon3	XianWangFen_Normal	MiniMap_Icon3	XianWangFen_Normal	Tiªn vào t× Li­u Tây #rQuái v§t ðÆng c¤p 75 ~ 80 #rChüng loÕi quái v§t: #rNh¤t Ph¦m Ðß¶ng Thích Khách, QuÖ Lang#rÐÕo Mµ Mã Phï, H¡c Ðµc Phong, #rHµ Mµ Mãng Cái, Khô Lâu.	0.2;0.2
219	Thiên Khanh Thø Ðµng	256	256	shudong.scene	shudong.path	shudong.wCollision	qiongzhou.jpg	147	60000	shudong	252	694	249	682	Sign19	MiniMap_Icon3	TianKengShuDong_Normal	MiniMap_Icon3	TianKengShuDong_Normal	T× ThÕch Lâm vào#rQuái v§t ðÆng c¤p 55-60#rLoÕi quái v§t: #rHoa Cß½ng ThÕch Sß, Hoa Cß½ng ThÕch Nhân, #r Hi®t Nham ThÕch Nhân, Tông Hùng, #r Lang Thù.	0.2;0.2
220	Ðào Hoa Nguyên	256	256	taohuayuan.scene	taohuayuan.path	taohuayuan.wCollision	qiongzhou.jpg	147	60000	taohuayuan	350	713	366	702	Sign19	MiniMap_Icon3	TaoHuaYuan_Normal	MiniMap_Icon3	TaoHuaYuan_Normal	Tiªn vào t× Ng÷c Khê #rQuái v§t ðÆng c¤p 70 ~ 75 #rChüng loÕi quái v§t: #rMê Nhân Phong, Hoa Ban Báo,#rÐào Cån Tiên, Ðào Chi Tiên,#rÐào Hoa Tiên, Ðào Thñc Tiên	0.2;0.2
221	Häi T£c Ðµng	256	256	haizei.scene	haizei.path	haizei.wCollision	qiongzhou.jpg	147	60000	haizei	679	752	652	748	Sign19	MiniMap_Icon3	HaiZeiDong_Normal	MiniMap_Icon3	HaiZeiDong_Normal	Tiªn vào t× Nam Häi #rQuái v§t ðÆng c¤p 80 ~ 84 #rChüng loÕi quái v§t: #rNgÕc Ngß Bang T£c Ð°, Nam Häi NgÕc Ngß, #rNgÕc Ngß Bang Ðä Thü, Nam Häi Häi ÐÕo, #rThÕch Lão Nhân.	0.2;0.2
222	Tuyªt Lang H°	256	256	xuelanghu.scene	xuelanghu.path	xuelanghu.wCollision	qiongzhou.jpg	147	60000	xuelanghu	753	96	754	83	Sign19	MiniMap_Icon3	XueLangHu_Normal	MiniMap_Icon3	XueLangHu_Normal	Tiªn vào t× Hoàng Long Phü #rQuái v§t ðÆng c¤p 100 ~ 104 #rChüng loÕi quái v§t: #rÐÕi H¡c Hùng, Tuyªt S½n Mãng Cái, #rTuyªt S½n Lang, Tr÷ng Giáp Mãng Cái, #rBa Luân Mãng Cái.	0.2;0.2
223	Phøng Hoàng C± Tr¤n	256	256	fenghuang.scene	fenghuang.path	fenghuang.wCollision	qiongzhou.jpg	147	60000	fenghuang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon2	YipinTang_Hover	Phøng Hoàng C± Tr¤n	0.2;0.2
224	Ti«n trang	128	128	qianzhuang.scene	qianzhuang.path	qianzhuang.wCollision	qiongzhou.jpg	141	60000	qianzhuang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
225	Ti¬u mµc nhân cäng 2	96	96	newbie_1.scene	newbie_1.path	newbie_1.wCollision	qiongzhou.jpg	416	60000	newbie_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
226	Ti¬u mµc nhân cäng 3	96	96	newbie_1.scene	newbie_1.path	newbie_1.wCollision	qiongzhou.jpg	416	60000	newbie_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
227	H§u hoa viên 2	128	128	newbie_2.scene	newbie_2.path	newbie_2.wCollision	qiongzhou.jpg	416	60000	newbie_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
228	H§u hoa viên 3	128	128	newbie_2.scene	newbie_2.path	newbie_2.wCollision	qiongzhou.jpg	416	60000	newbie_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
229	Ngân ngai tuyªt nguyên	256	256	bingkang.scene	bingkang.path	bingkang.wCollision	qiongzhou.jpg	147	60000	bingkang	647	65	648	45	Sign25	MiniMap_Icon3	Yinaixueyuan_Normal	MiniMap_Icon3	Yinaixueyuan_Normal	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 75-80#rLoÕi quái v§t: #rXí Nga, Xí Nga Vß½ng, #r Tuyªt Nguyên Lang, Ngân Ngai Tuyªt Nhân, #r Tuyªt Nguyên Mãng Cái.	0.2;0.2
230	Kính H° Phï TrÕi	192	192	jiaofei.scene	jiaofei.path	jiaofei.wCollision	qiongzhou.jpg	147	60000	jiaofei	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Thß½ng Mang S½n 	0.2;0.2
231	Nông trß¶ng Dã Trß	128	128	zhenshoulan.scene	zhenshoulan.path	zhenshoulan.Wcollision	zhenshoulan.jpg	147	60000	zhenshoulan	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Nông trß¶ng Dã Trß	0.2;0.2
232	Phø bän Thánh Thú S½n	256	256	petisland_2.scene	petisland_2.path	petisland_2.Wcollision	petisland_2.jpg	147	60000	petisland_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Phø bän Thánh Thú S½n	0.2;0.2
233	Mçu ðan uy¬n	128	128	cuju.scene	cuju.path	cuju.Wcollision	cuju.jpg	117	60000	cuju	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Mçu ðan uy¬n	0.2;0.2
234	Tung S½n phong thi«n ðài	192	192	jingjichang.scene	jingjichang.path	jingjichang.Wcollision	jingjichang.jpg	120	60000	jingjichang	680	525	680	550	Sign26	MiniMap_Icon3	FengShanTai_Normal	MiniMap_Icon3	FengShanTai_Normal	Phong Thi«n Ðài: Chiªn trß¶ng tranh ðoÕt võ lâm minh chü	0.2;0.2
235	Diêm H°	256	256	yanhu.scene	yanhu.path	yanhu.WCollision	yanhu.jpg	147	60000	yanhu	204	760	204	776	Sign3	MiniMap_Icon3	YanHu_Normal	MiniMap_Icon3	YanHu_Normal	Diêm H°: #r Quái v§t có ðÆng c¤p 84 - 89 #r LoÕi quái v§t g°m: #r Diêm H° Hùng, Diêm H° NgÕc Ngß #r OÕt Diêm Mµc Nhân, OÕt Diêm Kh± Công #r Y¬n Sß Giám Công, Y¬n Sß Thü V®.	0.2;0.2
236	Yªn TØ ‘ 	256	256	yanziwu.scene	yanziwu.path	yanziwu.Wcollision	yanziwu.jpg	494	60000	yanziwu	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Yªn TØ ‘ 	0.2;0.2
237	BÕch sa diêm khanh	128	128	yankeng.scene	yankeng.path	yankeng.Wcollision	yankeng.jpg	147	60000	yankeng	187	748	187	735	Sign19	MiniMap_Icon3	Baishayankeng_Normal	MiniMap_Icon3	Baishayankeng_Hover	T× Diêm H° tiªn vào #r Quái v§t có ðÆng c¤p 84 - 89 #r LoÕi quái v§t g°m: #r Diêm H° Hùng, Diêm H° NgÕc Ngß #r OÕt Diêm Mµc Nhân, OÕt Diêm Kh± Công #r Y¬n Sß Giám Công, Y¬n Sß Thü V®.	0.2;0.2
238	Ð® nh¤t khu nghï ng½i tÕi LÕc Dß½ng	64	64	qijvxiuxi_1.Scene	qijvxiuxi_1.path	qijvxiuxi_1.WCollision	qijvxiuxi_1.jpg	18	60000	qijvxiuxi_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Ð® nh¤t khu nghï ng½i tÕi LÕc Dß½ng	0.2;0.2
239	Ð® nh¸ khu nghï ng½i tÕi LÕc Dß½ng	64	64	qijvxiuxi_2.Scene	qijvxiuxi_2.path	qijvxiuxi_2.WCollision	qijvxiuxi_2.jpg	18	60000	qijvxiuxi_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Ð® nh¸ khu nghï ng½i tÕi LÕc Dß½ng	0.2;0.2
240	Khu nghï ng½i tÕi ÐÕi Lý	64	64	qijvxiuxi_3.Scene	qijvxiuxi_3.path	qijvxiuxi_3.WCollision	qijvxiuxi_3.jpg	101	60000	qijvxiuxi_3	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Khu nghï ng½i tÕi ÐÕi Lý	0.2;0.2
241	Khu nghï ng½i tÕi Tô Châu	64	64	qijvxiuxi_4.Scene	qijvxiuxi_4.path	qijvxiuxi_4.WCollision	qijvxiuxi_4.jpg	19	60000	qijvxiuxi_4	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Khu nghï ng½i tÕi Tô Châu	0.2;0.2
242	LÕc Dß½ng	320	320	luoyangsnow.Scene	luoyang.path	luoyang.wCollision	luoyangsnow.jpg	123	60000	luoyangsnow	0	0	0	0	Sign5	MiniMap_Icon2	LuoYang_Normal	MiniMap_Icon2	LuoYang_Hover	Thành LÕc Dß½ng	0.2;0.2
243	Hàn Ng÷c C¯c	96	96	hanyuchuang.Scene	hanyuchuang.path	hanyuchuang.wCollision	hanyuchuang.jpg	122	60000	hanyuchuang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	Hàn Ng÷c C¯c	0.2;0.2
244	Höa Di®m S½n	256	256	huoyanshan.Scene	huoyanshan.path	huoyanshan.wCollision	huoyanshan.jpg	500	60000	huoyanshan	269	253	269	278	Sign50	MiniMap_Icon4	Huoyanshan_Normal	MiniMap_Icon4	Huoyanshan_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 90-95#rLoÕi quái v§t: #rTây Vñc Mã Phï, Hoang Nguyên HÕt#r B¡c Phß½ng ÐÕo T£c, Dñc Ngßu#r B¡c Phß½ng Cß¶ng ÐÕo, Thiªt Dñc Ngßu, #rPhân b¯ nguyên li®u sinh hoÕt#r (c¤p 9-10): #rChân Vû Khoáng Khoáng MÕch, #r Long Huyªt Khoáng Khoáng MÕch, #r Côn S½n Khoáng Khoáng MÕch, #r Chúng Sinh Khoáng Khoáng MÕch, #r Ðông Trùng HÕ Thäo, Long QuÏ TØ, #r Yên Chi Ngß (166, 119), #r Ki«u Chüy H°ng BÕc (170, 119).	0.2;0.2
245	Cao Xß½ng	256	256	gaochang.Scene	gaochang.path	gaochang.wCollision	gaochang.jpg	501	60000	gaochang	210	313	210	337	Sign48	MiniMap_Icon4	Gaochang_Normal	MiniMap_Icon4	Gaochang_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 95-100#rLoÕi quái v§t: #rPhª Khß Khüng HÕt, Khô Lâu Binh#r Tây Vñc Tát Mãn, Tây Vñc Vu Y#r Tây Vñc Thiªt T£c, Tây Vñc Kiªp Phï, #rPhân b¯ nguyên li®u sinh hoÕt#r (c¤p 9-10): #rChân Vû Khoáng Khoáng MÕch, #r Long Huyªt Khoáng Khoáng MÕch, #r Côn S½n Khoáng Khoáng MÕch, #r Chúng Sinh Khoáng Khoáng MÕch, #r Ðông Trùng HÕ Thäo, Long QuÏ TØ, #r Yên Chi Ngß (107, 69), #r Ki«u Chüy H°ng BÕc (95, 44).	0.2;0.2
246	Lâu Lan	320	320	loulangucheng.Scene	loulangucheng.path	loulangucheng.wCollision	loulangucheng.jpg	505	60000	loulangucheng	130	270	130	304	Sign47	MiniMap_Icon4	Loulan_Normal	MiniMap_Icon4	Loulan_Hover	Thành th¸ Lâu Lan	0.2;0.2
247	Tháp Lý Mµc 	256	256	talimu.Scene	talimu.path	talimu.wCollision	talimu.jpg	504	60000	talimu	110	378	110	397	Sign3	MiniMap_Icon4	Talimu_Normal	MiniMap_Icon4	Talimu_Hover	Bän ð° dã ngoÕi#rQuái v§t c¤p 100-105#rQuái v§t loÕi:#rThñc Hü Ði¬u, Sa MÕc Dã Nhân#rSa Tr¥n, Sa MÕc Li®p C¦u#rSa MÕc Chiªn Sî, Sa MÕc Vu Sß,#rNguyên li®u sinh hoÕt phân b¯ (c¤p 9-10):#rChân Võ Khoáng Khoáng MÕch,#rLong Huyªt Khoáng Khoáng MÕch,#rCôn S½n Khoáng Khoáng MÕch,#rChúng Sinh Khoáng Khoáng MÕch,#rTßþng B¯i, Nhân Sâm,#rYên Chi Ngß (47,193),#rKi«u Chüy H°ng BÕc (50,190).	0.2;0.2
248	Côn Lôn Sôn	256	256	kunlunshan.Scene	kunlunshan.path	kunlunshan.wCollision	kunlunshan.jpg	112	60000	kunlunshan	66	422	66	446	Sign6	MiniMap_Icon	WuDangShan_Normal	MiniMap_Icon4	Kunlunshan_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 105-110#rLoÕi quái v§t: #rTiên Lµc, Linh HÕc#r Khai Minh Thú, Ti¬u ÐÕo Ð°ng#r Thái Vân Tiên, Linh Kiªm Sî, #rPhân b¯ nguyên li®u sinh hoÕt#r (c¤p 9-10): #rChân Vû Khoáng Khoáng MÕch, #r Long Huyªt Khoáng Khoáng MÕch, #r Côn S½n Khoáng Khoáng MÕch, #r Chúng Sinh Khoáng Khoáng MÕch, #r Tßþng B¯i, Nhân Sâm.	0.2;0.2
249	ÐÕi Uy¬n	256	256	dawan.Scene	dawan.path	dawan.wCollision	dawan.jpg	2038	60000	dawan	54	286	54	305	Sign3	MiniMap_Icon4	Dawan_Normal	MiniMap_Icon4	Dawan_Hover	Toàn cänh dã ngoÕi#rQuái v§t ðÆng c¤p 105-110#rLoÕi quái v§t: #rÐÕi Uy¬n Mã, Mã Trß¶ng Thü V®#rTu¥n Mã Sß, Liêu Qu¯c Chiªn Sî#rLiêu Qu¯c Tát Mãn, #rNguyên li®u #r(C¤p 9-10): #rChân Võ Khoáng Khoáng MÕch, #rLong Huyªt Khoáng Khoáng MÕch, #rCôn S½n Khoáng Khoáng MÕch, #rChúng Sinh Khoáng Khoáng MÕch, #rTßþng B¯i, Nhân Sâm, #rYên Chi Ngß (130,75), #rKi«u Chüy H°ng BÕc (124,123).	0.2;0.2
250	Tát Mã Nhî Hãn	256	256	samaerhan.Scene	samaerhan.path	samaerhan.wCollision	samaerhan.jpg	2100	60000	samaerhan	80	191	80	219	Sign49	MiniMap_Icon4	Samaerhan_Normal	MiniMap_Icon4	Samaerhan_Hover	Trß¶ng cänh dã ngoÕi#rQuái v§t ðÆng c¤p 105-110#rLoÕi quái v§t: #rBái Höa SÑ Giä, Höa Tinh Linh#r Höa Di­m Võ Sî, Bái Höa Tª Tß#r Tam Ð¥u Khuy¬n, Th¤m ThuÖ Ðà Thú, #rPhân b¯ nguyên li®u sinh hoÕt#r (c¤p 9-10): #rChân Vû Khoáng Khoáng MÕch, #r Long Huyªt Khoáng Khoáng MÕch, #r Côn S½n Khoáng Khoáng MÕch, #r Chúng Sinh Khoáng Khoáng MÕch, #r Tßþng B¯i, Nhân Sâm.	0.2;0.2
251	Höa Di®m S½n	128	128	huoyangu.Scene	huoyangu.path	huoyangu.wCollision	huoyangu.jpg	122	60000	huoyangu	291	235	291	223	Sign19	MiniMap_Icon5	Huoyangu_Normal	MiniMap_Icon5	Huoyangu_Hover	T× Höa Di®m S½n tiªn vào trong #rÐÆng c¤p quái v§t t× 90-95 #rChüng loÕi quái v§t: #rTây Vñc Mã Phï, Hoang Nguyên Yªt, #rB¡c Phß½ng ÐÕo T£c, Dñc Ngßu, #rB¡c Phß½ng Cß¶ng ÐÕo, Thiªt Dñc Ngßu.	0.2;0.2
252	Cao Xß½ng Mê Cung	128	128	gaochangmigong.Scene	gaochangmigong.path	gaochangmigong.wCollision	gaochangmigong.jpg	122	60000	gaochangmigong	244	317	257	329	Sign19	MiniMap_Icon5	Gaochangmigong_Normal	MiniMap_Icon5	Gaochangmigong_Hover	T× Cao Xß½ng tiªn vào trong #rÐÆng c¤p quái v§t t× 95-100 #rChüng loÕi quái v§t: #rPhª Khß Khüng Yªt, Khô Lâu Binh, #rTây Vñc Tát Mã, Tây Vñc Vu Y, #rTây Vñc Thiªt T£c, Tây Vñc Kiªp Phï.	0.2;0.2
253	Tháp kh¡c lÕp mã can	128	128	takelamagan.Scene	takelamagan.path	takelamagan.wCollision	takelamagan.jpg	122	60000	takelamagan	135	375	157	362	Sign19	MiniMap_Icon5	Takelamagan_Normal	MiniMap_Icon5	Takelamagan_Hover	T× Tháp Lý Mµc tiªn vào #r Quái v§t có ðÆng c¤p 100 - 105 #r LoÕi quái v§t g°m: #r Thñc Hü Ði¬u, Sa MÕc Dã Nhân #r Sa Tr¥n, Sa MÕc Li®p C¦u #r Sa MÕc Chiªn Sî, Sa MÕc Vu Sß.	0.2;0.2
254	Côn lôn phúc ð¸a	128	128	kunlunfudi.Scene	kunlunfudi.path	kunlunfudi.wCollision	kunlunfudi.jpg	494	60000	kunlunfudi	105	424	119	438	Sign19	MiniMap_Icon5	Takelamagan_Normal	MiniMap_Icon5	Kunlunfudi_Hover	T× Côn Lôn S½n vào#rQuái v§t ðÆng c¤p 105-110#rLoÕi quái v§t: #rTiên Lµc, Linh HÕc#r Khai Minh Thú, Ti¬u ÐÕo Ð°ng#r Thái Vân Tiên, Linh Kiªm Sî.	0.2;0.2
